tree,origin,culture,coral,day,brightness
15,sub,sub,6,13,NA
15,sub,sub,7,13,NA
15,sub,sub,8,13,NA
16,sub,sub,1,1,78.63840754
16,sub,sub,2,1,NA
16,sub,sub,3,1,119.6502571
16,sub,sub,4,1,101.74006
16,sub,sub,5,1,NA
16,sub,sub,6,1,79.40468706
16,sub,sub,7,1,108.0323786
16,sub,sub,8,1,72.79998969
16,sub,sub,1,3,NA
16,sub,sub,2,3,NA
16,sub,sub,3,3,NA
16,sub,sub,4,3,NA
16,sub,sub,5,3,NA
16,sub,sub,6,3,NA
16,sub,sub,7,3,NA
16,sub,sub,8,3,NA
16,sub,sub,1,5,54.33358357
16,sub,sub,2,5,NA
16,sub,sub,3,5,91.40820849
16,sub,sub,4,5,78.66368246
16,sub,sub,5,5,NA
16,sub,sub,6,5,62.10997143
16,sub,sub,7,5,91.0068768
16,sub,sub,8,5,98.78979409
16,sub,sub,1,7,51.67706036
16,sub,sub,2,7,NA
16,sub,sub,3,7,63.10300623
16,sub,sub,4,7,90.86234522
16,sub,sub,5,7,NA
16,sub,sub,6,7,67.35873215
16,sub,sub,7,7,94.01405426
16,sub,sub,8,7,63.98892684
16,sub,sub,1,9,NA
16,sub,sub,2,9,NA
16,sub,sub,3,9,NA
16,sub,sub,4,9,NA
16,sub,sub,5,9,NA
16,sub,sub,6,9,NA
16,sub,sub,7,9,NA
16,sub,sub,8,9,NA
